Index,路名,起點,終點,速限,經度,緯度,Geohash
170,國道5號,14.7k,54.3k,90,121.783500,24.820790,wsqt5q2
171,國道5號,14.7k,54.3k,90,121.783060,24.820160,wsqt5nr
172,國道5號,14.7k,54.3k,90,121.783000,24.820090,wsqt5nr
173,國道5號,14.7k,54.3k,90,121.782920,24.819950,wsqt5nr
174,國道5號,14.7k,54.3k,90,121.782910,24.819930,wsqt5nr
175,國道5號,14.7k,54.3k,90,121.782890,24.819910,wsqt5nr
176,國道5號,14.7k,54.3k,90,121.782880,24.819880,wsqt5nr
177,國道5號,14.7k,54.3k,90,121.782830,24.819810,wsqt5nr
178,國道5號,14.7k,54.3k,90,121.782740,24.819660,wsqt5nr
179,國道5號,14.7k,54.3k,90,121.782650,24.819520,wsqt5nr
180,國道5號,14.7k,54.3k,90,121.782560,24.819370,wsqt5np
181,國道5號,14.7k,54.3k,90,121.782400,24.819070,wsqt5np
182,國道5號,14.7k,54.3k,90,121.782290,24.818840,wsqt5np
183,國道5號,14.7k,54.3k,90,121.782170,24.818600,wsqt5np
184,國道5號,14.7k,54.3k,90,121.782060,24.818370,wsqt5nn
185,國道5號,14.7k,54.3k,90,121.781980,24.818200,wsqt5nn
186,國道5號,14.7k,54.3k,90,121.781970,24.818170,wsqt5nn
187,國道5號,14.7k,54.3k,90,121.781960,24.818150,wsqt5nn
188,國道5號,14.7k,54.3k,90,121.781950,24.818130,wsqt5nn
189,國道5號,14.7k,54.3k,90,121.781850,24.817890,wsqt5jy
190,國道5號,14.7k,54.3k,90,121.781750,24.817650,wsqt5jy
191,國道5號,14.7k,54.3k,90,121.781660,24.817400,wsqt5jy
192,國道5號,14.7k,54.3k,90,121.781570,24.817160,wsqt5jy
193,國道5號,14.7k,54.3k,90,121.781560,24.817090,wsqt5jy
194,國道5號,14.7k,54.3k,90,121.781500,24.816940,wsqt5jy
195,國道5號,14.7k,54.3k,90,121.781490,24.816910,wsqt5jy
196,國道5號,14.7k,54.3k,90,121.781480,24.816860,wsqt5jy
197,國道5號,14.7k,54.3k,90,121.781460,24.816820,wsqt5jy
198,國道5號,14.7k,54.3k,90,121.781460,24.816800,wsqt5jy
199,國道5號,14.7k,54.3k,90,121.781420,24.816670,wsqt5jw
200,國道5號,14.7k,54.3k,90,121.781360,24.816470,wsqt5jw
201,國道5號,14.7k,54.3k,90,121.781350,24.816450,wsqt5jw
202,國道5號,14.7k,54.3k,90,121.781350,24.816430,wsqt5jw
203,國道5號,14.7k,54.3k,90,121.781340,24.816420,wsqt5jw
204,國道5號,14.7k,54.3k,90,121.781270,24.816110,wsqt5jw
205,國道5號,14.7k,54.3k,90,121.781200,24.815860,wsqt5jw
206,國道5號,14.7k,54.3k,90,121.781160,24.815660,wsqt5jw
207,國道5號,14.7k,54.3k,90,121.781120,24.815460,wsqt5jw
208,國道5號,14.7k,54.3k,90,121.781080,24.815260,wsqt5jq
209,國道5號,14.7k,54.3k,90,121.781040,24.815060,wsqt5jq
210,國道5號,14.7k,54.3k,90,121.781020,24.814860,wsqt5jq
211,國道5號,14.7k,54.3k,90,121.780990,24.814660,wsqt5jq
212,國道5號,14.7k,54.3k,90,121.780980,24.814560,wsqt5jq
